Sample_Number,Time,VOLT
1,-0.001,-0.023900505
2,-0.00099996,-0.023900505
3,-0.00099992,-0.027920606
4,-0.00099988,-0.023900505
5,-0.00099984,-0.023900505
6,-0.0009998,-0.027920606
7,-0.00099976,-0.027920606
8,-0.00099972,-0.027920606
9,-0.00099968,-0.027920606
10,-0.00099964,-0.023900505
11,-0.0009996,-0.027920606
12,-0.00099956,-0.027920606
13,-0.00099952,-0.023900505
14,-0.00099948,-0.023900505
15,-0.00099944,-0.027920606
16,-0.0009994,-0.027920606
17,-0.00099936,-0.023900505
18,-0.00099932,-0.027920606
19,-0.00099928,-0.023900505
20,-0.00099924,-0.023900505
21,-0.0009992,-0.027920606
22,-0.00099916,-0.027920606
23,-0.00099912,-0.023900505
24,-0.00099908,-0.027920606
25,-0.00099904,-0.027920606
26,-0.000999,-0.023900505
27,-0.00099896,-0.023900505
28,-0.00099892,-0.023900505
29,-0.00099888,-0.023900505
30,-0.00099884,-0.023900505
31,-0.0009988,-0.023900505
32,-0.00099876,-0.027920606
33,-0.00099872,-0.023900505
34,-0.00099868,-0.027920606
35,-0.00099864,-0.023900505
36,-0.0009986,-0.027920606
37,-0.00099856,-0.023900505
38,-0.00099852,-0.023900505
39,-0.00099848,-0.023900505
40,-0.00099844,-0.023900505
41,-0.0009984,-0.023900505
42,-0.00099836,-0.027920606
43,-0.00099832,-0.023900505
44,-0.00099828,-0.023900505
45,-0.00099824,-0.023900505
46,-0.0009982,-0.027920606
47,-0.00099816,-0.023900505
48,-0.00099812,-0.027920606
49,-0.00099808,-0.027920606
50,-0.00099804,-0.023900505
51,-0.000998,-0.023900505
52,-0.00099796,-0.023900505
53,-0.00099792,-0.027920606
54,-0.00099788,-0.027920606
55,-0.00099784,-0.027920606
56,-0.0009978,-0.023900505
57,-0.00099776,-0.027920606
58,-0.00099772,-0.023900505
59,-0.00099768,-0.027920606
60,-0.00099764,-0.023900505
61,-0.0009976,-0.023900505
62,-0.00099756,-0.027920606
63,-0.00099752,-0.023900505
64,-0.00099748,-0.023900505
65,-0.00099744,-0.023900505
66,-0.0009974,-0.027920606
67,-0.00099736,-0.027920606
68,-0.00099732,-0.023900505
