HCBackground(Counts/10s),HC Source(Counts/10s),LC(Counts/1s)
2,1726,4
1,1694,5
4,1725,3
3,1646,2
0,1741,2
3,1705,5
2,1754,2
1,1644,3
2,1708,2
2,1623,4
,1684,4
,1640,4
,1688,5
,1789,2
,1706,3
,1677,5
,1690,3
,1672,2
,1709,4
,1682,2
,1664,3
,1596,5
,1656,1
,1735,2
,1663,2
,1721,0
,1722,2
,1618,3
,1650,1
,1712,4
,1643,2
,1601,2
,1681,3
,1639,5
,1701,0
,1683,2
,1706,4
,1700,5
,1597,2
,1703,1
,1611,5
,1701,3
,1726,2
,1752,7
,1725,1
,1743,2
,1631,3
,1662,3
,1763,2
,1651,4
,1638,2
,1714,1
,1626,4
,1626,2
,1671,2
,1672,1
,1582,2
,1754,2
,1664,5
,1733,0
,1697,3
,1675,2
,1647,5
,1690,2
,1659,2
,1673,1
,1626,5
,1643,2
,1575,2
,1670,0
,1660,1
,1691,2
,1715,2
,1690,4
,1685,6
,1650,2
,1727,4
,1689,4
,1632,2
,1752,1
,1742,2
,1631,1
,1684,5
,1705,3
,1583,2
,1639,1
,1667,4
,1677,3
,1610,4
,1631,3
,1704,2
,1736,0
,1620,1
,1692,3
,1617,5
,1697,5
,1611,6
,1675,3
,1696,7
,1677,2
