alpha,I
5.459,0
5.454,0
5.449,0
5.443,0
5.438,0
5.433,0
5.428,0
5.422,0
5.417,0
5.412,0
5.406,0
5.401,0
5.396,0
5.39,0
5.385,0
5.38,0
5.375,0
5.369,0
5.364,0
5.359,0
5.353,0
5.348,0
5.343,0
5.337,0
5.332,0
5.327,0
5.322,0
5.316,0
5.311,0
5.306,0
5.3,0
5.295,0
5.29,0
5.284,0
5.279,0
5.274,0
5.269,0
5.263,0
5.258,0
5.253,0
5.247,0
5.242,0
5.237,0
5.231,0
5.226,0
5.221,0
5.216,0
5.21,0
5.205,0
5.2,0
5.194,0
5.189,0
5.184,0
5.178,0
5.173,0
5.168,0
5.162,0
5.157,0
5.152,0
5.147,0
5.141,0
5.136,0
5.131,0
5.125,0
5.12,0
5.115,0
5.109,0
5.104,0
5.099,0
5.094,0
5.088,0
5.083,0.4
5.078,0.4
5.072,0.4
5.067,0.4
5.062,0.4
5.056,0.4
5.051,0.4
5.046,0.4
5.04,0.4
5.035,0.4
5.03,0.4
5.025,0.4
5.019,0.4
5.014,0.4
5.009,0.4
5.003,0.4
4.998,0.4
4.993,0.4
4.987,0.4
4.982,0.4
4.977,0.4
4.971,0.4
4.966,0.4
4.961,0.4
4.956,0.4
4.95,0.4
4.945,0.4
4.94,0.4
4.934,0.4
4.929,0.4
4.924,0.4
4.918,0.4
4.913,0.4
4.908,0.4
4.902,0.4
4.897,0.4
4.892,0.4
4.887,0.4
4.881,0.4
4.876,0.4
4.871,0.4
4.865,0.4
4.86,0.4
4.855,0.4
4.849,0.4
4.844,0.4
4.839,0.4
4.833,0.4
4.828,0.4
4.823,0.4
4.818,0.4
4.812,0.4
4.807,0.4
4.802,0.4
4.796,0.4
4.791,0.4
4.786,0.4
4.78,0.4
4.775,0.4
4.77,0.4
4.764,0.4
4.759,0.4
4.754,0.4
4.748,0.8
4.743,0.8
4.738,0.8
4.733,0.8
4.727,0.8
4.722,0.4
4.717,0.4
4.711,0.4
4.706,0.4
4.701,0.4
4.695,0.4
4.69,0.4
4.685,0.4
4.679,0.8
4.674,0.8
4.669,0.8
4.663,0.8
4.658,0.8
4.653,0.8
4.648,0.8
4.642,0.8
4.637,0.8
4.632,0.8
4.626,0.8
4.621,0.4
4.616,0.4
4.61,0.4
4.605,0.4
4.6,0.4
4.594,0.8
4.589,0.8
4.584,0.8
4.578,0.8
4.573,0.8
4.568,0.8
4.563,0.8
4.557,0.8
4.552,0.8
4.547,0.8
4.541,0.4
4.536,0.4
4.531,0.4
4.525,0.4
4.52,0.4
4.515,0.4
4.509,0.4
4.504,0.8
4.499,0.8
4.493,0.8
4.488,0.8
4.483,0.8
4.478,0.8
4.472,0.8
4.467,0.8
4.462,0.8
4.456,0.8
4.451,0.8
4.446,0.8
4.44,0.8
4.435,0.4
4.43,0.4
4.424,0.4
4.419,0.4
4.414,0.8
4.408,0.8
4.403,0.8
4.398,0.8
4.392,0.8
4.387,0.8
4.382,0.8
4.377,0.8
4.371,0.8
4.366,0.8
4.361,0.8
4.355,0.8
4.35,0.8
4.345,0.4
4.339,0.4
4.334,0.4
4.329,0.4
4.323,0.8
4.318,0.8
4.313,0.8
4.307,1.2
4.302,1.2
4.297,1.2
4.291,1.2
4.286,1.2
4.281,1.2
4.275,0.8
4.27,0.8
4.265,0.8
4.26,0.8
4.254,0.8
4.249,0.8
4.244,0.8
4.238,0.8
4.233,0.8
4.228,0.8
4.222,1.2
4.217,1.2
4.212,1.2
4.206,1.2
4.201,1.2
4.196,1.2
4.19,1.2
4.185,1.2
4.18,1.2
4.174,0.8
4.169,0.8
4.164,0.8
4.158,0.8
4.153,0.8
4.148,0.8
4.143,0.8
4.137,0.8
4.132,0.8
4.127,0.8
4.121,1.2
4.116,1.2
4.111,1.6
4.105,1.6
4.1,1.6
4.095,1.6
4.089,1.6
4.084,1.6
4.079,1.2
4.073,1.2
4.068,1.2
4.063,1.2
4.057,0.8
4.052,0.8
4.047,0.8
4.041,0.8
4.036,0.8
4.031,0.8
4.025,1.2
4.02,1.2
4.015,1.2
4.009,1.6
4.004,1.6
3.999,2
3.994,2
3.988,2
3.983,1.6
3.978,1.2
3.972,1.2
3.967,1.2
3.962,1.2
3.956,1.2
3.951,0.8
3.946,0.8
3.94,0.8
3.935,0.8
3.93,1.2
3.924,1.6
3.919,1.6
3.914,1.6
3.908,2
3.903,2
3.898,2
3.892,2
3.887,2
3.882,1.6
3.876,1.6
3.871,1.2
3.866,1.2
3.86,1.2
3.855,1.2
3.85,1.2
3.844,1.2
3.839,1.2
3.834,1.2
3.829,1.2
3.823,1.2
3.818,1.6
3.813,1.6
3.807,1.6
3.802,2
3.797,2
3.791,2
3.786,2
3.781,2
3.775,2
3.77,1.6
3.765,1.6
3.759,1.2
3.754,1.2
3.749,1.2
3.743,1.2
3.738,1.2
3.733,1.2
3.727,1.2
3.722,1.2
3.717,1.2
3.711,1.6
3.706,2
3.701,2
3.695,2
3.69,2.4
3.685,2.4
3.679,2.4
3.674,2.4
3.669,2.4
3.663,2
3.658,2
3.653,1.6
3.647,1.6
3.642,1.6
3.637,1.2
3.632,1.2
3.626,1.2
3.621,1.2
3.616,1.2
3.61,1.6
3.605,1.6
3.6,2
3.594,2.4
3.589,2.4
3.584,2.4
3.578,2.4
3.573,2.4
3.568,2.4
3.562,2.4
3.557,2.4
3.552,2.4
3.546,2.4
3.541,2.4
3.536,2
3.53,2
3.525,2
3.52,2
3.514,2
3.509,2
3.504,2
3.498,2
3.493,2
3.488,2
3.482,2.4
3.477,2.4
3.472,2.4
3.466,2.8
3.461,2.8
3.456,2.8
3.45,2.8
3.445,2.8
3.44,2.8
3.434,2.8
3.429,2.4
3.424,2.4
3.418,2.4
3.413,2.4
3.408,2
3.402,2
3.397,2
3.392,2
3.386,2
3.381,2
3.376,2
3.37,2.4
3.365,2.4
3.36,2.8
3.354,2.8
3.349,3.2
3.344,3.2
3.338,3.2
3.333,3.2
3.328,3.2
3.322,3.2
3.317,3.2
3.312,3.2
3.306,3.2
3.301,2.8
3.296,2.8
3.291,2.8
3.285,2.8
3.28,2.8
3.275,2.8
3.269,2.8
3.264,2.8
3.259,2.8
3.253,2.8
3.248,2.8
3.243,2.8
3.237,2.8
3.232,3.2
3.227,3.6
3.221,3.6
3.216,3.6
3.211,3.6
3.205,3.6
3.2,3.6
3.195,3.6
3.189,3.6
3.184,3.2
3.179,3.2
3.173,3.2
3.168,3.2
3.163,2.8
3.157,2.8
3.152,2.8
3.147,2.8
3.141,3.2
3.136,3.6
3.131,3.6
3.125,3.2
3.12,3.6
3.115,3.6
3.109,4
3.104,4.4
3.099,4.8
3.093,4.8
3.088,4.8
3.083,4.8
3.077,4.8
3.072,4.8
3.067,4.8
3.061,4.4
3.056,4.4
3.051,4.4
3.045,4.4
3.04,4
3.035,4
3.029,3.6
3.024,3.6
3.019,4
3.013,4.4
3.008,4.8
3.003,4.8
2.997,4.4
2.992,4.4
2.987,4.4
2.981,4.4
2.976,4.8
2.971,5.2
2.965,5.6
2.96,5.6
2.955,5.2
2.949,4.8
2.944,4.8
2.939,4.8
2.933,4.4
2.928,4.4
2.923,4.4
2.917,4.4
2.912,4.4
2.907,4.4
2.901,4.4
2.896,4.4
2.891,4.4
2.885,4.4
2.88,4.8
2.875,5.6
2.869,6
2.864,6
2.859,5.6
2.853,5.2
2.848,5.2
2.843,5.2
2.837,5.6
2.832,6
2.827,6.8
2.821,6.8
2.816,6.4
2.811,6
2.805,5.6
2.8,5.2
2.795,5.2
2.789,4.8
2.784,4.8
2.779,4.8
2.773,4.8
2.768,4.8
2.763,4.8
2.757,4.4
2.752,4.4
2.747,4.4
2.741,4.8
2.736,5.2
2.731,6
2.725,6.8
2.72,6.8
2.715,6.4
2.709,6
2.704,6
2.699,5.6
2.693,6
2.688,6.4
2.683,7.2
2.677,7.6
2.672,7.2
2.667,6.4
2.661,5.6
2.656,5.2
2.651,4.8
2.645,4.8
2.64,4.8
2.635,4.8
2.629,4.8
2.624,4.8
2.619,4.8
2.613,4.8
2.608,4.8
2.602,4.8
2.597,4.8
2.592,5.2
2.586,5.6
2.581,6.8
2.576,8
2.57,8.4
2.565,8.4
2.56,8
2.554,7.6
2.549,7.2
2.544,7.2
2.538,7.2
2.533,7.6
2.528,8.4
2.522,8.8
2.517,8.8
2.512,8
2.506,7.2
2.501,6.4
2.496,5.6
2.49,5.2
2.485,5.2
2.48,4.8
2.474,4.8
2.469,4.8
2.464,4.8
2.458,4.8
2.453,4.8
2.448,4.8
2.442,5.2
2.437,5.2
2.432,5.6
2.426,6.4
2.421,7.6
2.416,8.8
2.41,10
2.405,10.4
2.4,10
2.394,9.2
2.389,8.8
2.384,8.4
2.378,8.4
2.373,8.8
2.368,9.2
2.362,10.4
2.357,11.2
2.352,10.8
2.346,10
2.341,8.8
2.336,7.6
2.33,6.8
2.325,6
2.32,5.6
2.314,5.2
2.309,5.2
2.304,5.2
2.298,5.2
2.293,5.2
2.288,5.2
2.282,5.2
2.277,5.6
2.272,6
2.266,6
2.261,6.4
2.256,7.2
2.25,8.4
2.245,10
2.24,11.6
2.234,12.8
2.229,12.8
2.223,12.4
2.218,11.6
2.213,11.2
2.207,10.8
2.202,10.4
2.197,10.8
2.191,11.6
2.186,12.8
2.181,14
2.175,14.4
2.17,13.6
2.165,12.4
2.159,10.8
2.154,9.6
2.149,8.4
2.143,7.6
2.138,6.8
2.133,6.4
2.127,6
2.122,6
2.117,6
2.111,6
2.106,6
2.101,6
2.095,6
2.09,6
2.085,6.4
2.079,6.8
2.074,7.2
2.069,8
2.063,9.6
2.058,11.6
2.053,14
2.047,16
2.042,16.4
2.037,16
2.031,14.8
2.026,13.6
2.021,13.2
2.015,12.8
2.01,12.4
2.005,12.8
1.999,14
1.994,15.6
1.989,17.6
1.983,18.4
1.978,17.6
1.972,16.4
1.967,14.8
1.962,13.2
1.956,11.2
1.951,10
1.946,8.8
1.94,8
1.935,7.6
1.93,7.2
1.924,6.8
1.919,6.4
1.914,6.4
1.908,6.4
1.903,6.4
1.898,6.4
1.892,6.4
1.887,6.8
1.882,6.8
1.876,7.2
1.871,8
1.866,8.8
1.86,10
1.855,12.4
1.85,15.2
1.844,18.4
1.839,20.8
1.834,21.6
1.828,20.8
1.823,19.2
1.818,17.6
1.812,16.4
1.807,15.6
1.802,15.2
1.796,15.2
1.791,16
1.786,17.6
1.78,20
1.775,22.8
1.769,24.8
1.764,24.8
1.759,23.2
1.753,20.8
1.748,18.4
1.743,16
1.737,14.4
1.732,12.8
1.727,11.6
1.721,10.4
1.716,9.6
1.711,9.2
1.705,8.8
1.7,8.4
1.695,8
1.689,8
1.684,8
1.679,7.6
1.673,7.6
1.668,7.6
1.663,8
1.657,8
1.652,8.4
1.647,8.8
1.641,9.6
1.636,10.4
1.631,12
1.625,14
1.62,17.2
1.615,21.2
1.609,25.2
1.604,28
