Channel,Data
0,2
1,4
2,10
3,4
4,2
5,4
6,4
7,10
8,8
9,8
10,2
11,10
12,0
13,6
14,6
15,2
16,4
17,8
18,2
19,8
20,2
21,6
22,8
23,0
24,6
25,8
26,10
27,0
28,6
29,4
30,0
31,4
32,8
33,0
34,4
35,12
36,2
37,4
38,0
39,4
40,8
41,0
42,10
43,6
44,2
45,6
46,6
47,8
48,8
49,6
50,10
51,2
52,4
53,2
54,8
55,10
56,4
57,4
58,7
59,6
60,0
61,2
62,4
63,0
64,8
65,8
66,2
67,6
68,9
69,10
70,0
71,4
72,6
73,0
74,6
75,4
76,4
77,8
78,2
79,4
80,2
81,2
82,2
83,4
84,2
85,2
86,6
87,12
88,6
89,4
90,4
91,0
92,2
93,8
94,8
95,4
96,0
97,4
98,4
99,2
100,0
101,6
102,8
103,6
104,0
105,2
106,6
107,4
108,2
109,6
110,4
111,2
112,6
113,4
114,10
115,4
116,6
117,6
118,0
119,7
120,4
121,8
122,4
123,16
124,4
125,2
126,10
127,7
128,8
129,6
130,4
131,4
132,4
133,4
134,4
135,4
136,4
137,2
138,4
139,6
140,2
141,4
142,2
143,8
144,6
145,4
146,8
147,2
148,2
149,2
150,2
151,2
152,6
153,6
154,2
155,2
156,10
157,12
158,8
159,6
160,4
161,8
162,2
163,6
164,4
165,8
166,10
167,2
168,0
169,2
170,4
171,0
172,4
173,4
174,4
175,4
176,2
177,4
178,9
179,6
180,0
181,4
182,2
183,2
184,2
185,0
186,4
187,4
188,8
189,4
190,0
191,4
192,6
193,4
194,4
195,8
196,6
197,0
198,2
199,4
200,0
201,6
202,10
203,6
204,2
205,2
206,4
207,8
208,2
209,2
210,4
211,5
212,6
213,4
214,6
215,6
216,8
217,6
218,2
219,2
220,2
221,0
222,2
223,8
224,4
225,10
226,10
227,2
228,8
229,8
230,4
231,0
232,8
233,2
234,4
235,0
236,8
237,2
238,0
239,5
240,6
241,4
242,2
243,8
244,6
245,6
246,6
247,0
248,0
249,8
250,2
251,8
252,2
253,8
254,10
255,4
256,10
257,2
258,9
259,2
260,6
261,6
262,6
263,6
264,2
265,8
266,0
267,6
268,4
269,4
270,10
271,8
272,5
273,2
274,8
275,0
276,0
277,4
278,10
279,2
280,6
281,6
282,4
283,8
284,10
285,4
286,2
287,6
288,6
289,2
290,8
291,0
292,2
293,4
294,4
295,0
296,8
297,2
298,4
299,4
300,8
301,8
302,4
303,4
304,4
305,4
306,6
307,6
308,5
309,2
310,7
311,4
312,4
313,0
314,6
315,10
316,8
317,0
318,4
319,6
320,8
321,4
322,4
323,8
324,0
325,4
326,6
327,8
328,8
329,8
330,10
331,2
332,4
333,6
334,6
335,6
336,8
337,8
338,6
339,2
340,2
341,10
342,2
343,2
344,2
345,4
346,4
347,0
348,0
349,2
350,8
351,6
352,2
353,4
354,0
355,2
356,2
357,6
358,4
359,0
360,10
361,0
362,6
363,10
364,2
365,4
366,8
367,2
368,2
369,2
370,4
371,2
372,6
373,2
374,6
375,2
376,12
377,10
378,4
379,4
380,3
381,4
382,4
383,10
384,8
385,8
386,2
387,2
388,3
389,4
390,6
391,6
392,6
393,4
394,2
395,8
396,4
397,4
398,2
399,0
400,6
401,4
402,5
403,8
404,4
405,6
406,12
407,8
408,2
409,6
410,2
411,8
412,2
413,2
414,4
415,8
416,8
417,2
418,12
419,6
420,6
421,8
422,0
423,14
424,2
425,4
426,2
427,4
428,8
429,2
430,4
431,12
432,2
433,10
434,4
435,6
436,11
437,0
438,2
439,6
440,10
441,4
442,6
443,4
444,8
445,2
446,6
447,4
448,6
449,6
450,10
451,6
452,2
453,7
454,2
455,6
456,6
457,6
458,8
459,4
460,0
461,4
462,8
463,0
464,2
465,2
466,0
467,4
468,2
469,6
470,4
471,9
472,6
473,4
474,2
475,2
476,6
477,4
478,0
479,2
480,10
481,4
482,2
483,5
484,2
485,0
486,6
487,9
488,5
489,12
490,4
491,8
492,2
493,4
494,2
495,2
496,2
497,0
498,4
499,4
500,12
501,4
502,13
503,8
504,0
505,6
506,6
507,0
508,2
509,6
510,2
511,2
512,0
513,0
514,8
515,10
516,2
517,12
518,4
519,2
520,10
521,6
522,2
523,8
524,12
525,2
526,6
527,8
528,4
529,8
530,6
531,4
532,8
533,2
534,2
535,6
536,5
537,4
538,8
539,2
540,8
541,2
542,6
543,4
544,4
545,0
546,6
547,10
548,4
549,4
550,4
551,2
552,2
553,8
554,8
555,2
556,2
557,6
558,2
559,4
560,4
561,2
562,2
563,4
564,2
565,4
566,4
567,4
568,4
569,2
570,4
571,4
572,8
573,6
574,4
575,2
576,2
577,6
578,2
579,6
580,6
581,6
582,5
583,6
584,0
585,4
586,8
587,6
588,8
589,4
590,6
591,10
592,6
593,5
594,4
595,0
596,8
597,4
598,4
599,6
600,4
601,10
602,6
603,0
604,10
605,8
606,6
607,4
608,4
609,10
610,11
611,6
612,2
613,8
614,2
615,2
616,5
617,4
618,6
619,6
620,2
621,5
622,6
623,4
624,6
625,6
626,5
627,6
628,4
629,6
630,4
631,0
632,2
633,6
634,4
635,0
636,6
637,6
638,2
639,6
640,6
641,2
642,6
643,10
644,6
645,12
646,2
647,2
648,2
649,4
650,4
651,2
652,2
653,4
654,4
655,4
656,4
657,6
658,6
659,6
660,0
661,8
662,6
663,2
664,10
665,6
666,4
667,4
668,0
669,0
670,4
671,4
672,10
673,12
674,2
675,6
676,8
677,10
678,6
679,4
680,6
681,6
682,2
683,10
684,6
685,8
686,2
687,10
688,6
689,8
690,0
691,4
692,0
693,2
694,6
695,8
696,8
697,6
698,4
699,2
700,4
701,4
702,2
703,8
704,4
705,0
706,2
707,2
708,6
709,4
710,4
711,2
712,4
713,0
714,8
715,4
716,6
717,6
718,6
719,6
720,10
721,4
722,2
723,4
724,8
725,2
726,4
727,8
728,8
729,7
730,0
731,0
732,6
733,6
734,4
735,6
736,0
737,2
738,4
739,4
740,4
741,8
742,4
743,4
744,4
745,4
746,2
747,8
748,4
749,2
750,2
751,4
752,10
753,6
754,4
755,9
756,10
757,8
758,4
759,2
760,4
761,4
762,4
763,12
764,10
765,4
766,8
767,0
768,7
769,4
770,5
771,2
772,4
773,7
774,2
775,8
776,0
777,4
778,10
779,6
780,0
781,2
782,0
783,4
784,2
785,2
786,0
787,10
788,2
789,2
790,2
791,4
792,6
793,7
794,2
795,10
796,4
797,8
798,4
799,6
800,6
801,3
802,2
803,11
804,0
805,2
806,4
807,2
808,6
809,8
810,4
811,12
812,4
813,8
814,12
815,6
816,8
817,4
818,0
819,2
820,8
821,2
822,8
823,2
824,4
825,4
826,6
827,6
828,6
829,2
830,10
831,4
832,12
833,6
834,4
835,2
836,4
837,4
838,0
839,4
840,10
841,4
842,2
843,2
844,6
845,4
846,0
847,2
848,2
849,6
850,8
851,8
852,6
853,6
854,6
855,6
856,6
857,2
858,6
859,4
860,6
861,8
862,4
863,4
864,4
865,8
866,4
867,7
868,4
869,2
870,6
871,0
872,4
873,6
874,6
875,6
876,8
877,6
878,2
879,8
880,8
881,6
882,8
883,6
884,10
885,8
886,12
887,2
888,4
889,8
890,4
891,6
892,4
893,14
894,2
895,4
896,4
897,3
898,4
899,8
900,10
901,4
902,11
903,2
904,2
905,0
906,6
907,6
908,6
909,2
910,4
911,0
912,10
913,4
914,2
915,11
916,12
917,0
918,8
919,2
920,5
921,6
922,8
923,6
924,4
925,10
926,2
927,12
928,6
929,0
930,2
931,6
932,4
933,6
934,6
935,6
936,4
937,2
938,8
939,10
940,6
941,6
942,6
943,4
944,6
945,7
946,16
947,4
948,2
949,5
950,2
951,6
952,0
953,4
954,6
955,0
956,4
957,6
958,6
959,8
960,6
