Channel,Data
0,0
1,9
2,31
3,23
4,11
5,13
6,22
7,19
8,35
9,24
10,31
11,34
12,32
13,42
14,25
15,38
16,41
17,26
18,30
19,36
20,23
21,29
22,20
23,30
24,22
25,32
26,31
27,28
28,38
29,21
30,25
31,29
32,24
33,19
34,21
35,21
36,26
37,23
38,12
39,23
40,26
41,19
42,18
43,27
44,22
45,18
46,20
47,18
48,16
49,27
50,18
51,16
52,12
53,19
54,16
55,19
56,14
57,16
58,15
59,22
60,21
61,17
62,14
63,12
64,11
65,17
66,16
67,14
68,4
69,12
70,8
71,11
72,6
73,13
74,14
75,9
76,15
77,7
78,12
79,9
80,10
81,6
82,9
83,13
84,5
85,10
86,7
87,4
88,4
89,8
90,8
91,6
92,7
93,10
94,8
95,8
96,9
97,8
98,8
99,8
100,8
101,6
102,5
103,10
104,7
105,3
106,4
107,3
108,5
109,7
110,3
111,5
112,6
113,3
114,8
115,7
116,5
117,6
118,6
119,4
120,1
121,3
122,4
123,4
124,4
125,6
126,3
127,6
128,5
129,3
130,3
131,4
132,5
133,0
134,1
135,5
136,5
137,1
138,3
139,5
140,0
141,1
142,2
143,4
144,6
145,5
146,2
147,3
148,0
149,2
150,1
151,2
152,3
153,2
154,2
155,3
156,1
157,2
158,1
159,1
160,2
161,2
162,2
163,1
164,4
165,3
166,3
167,2
168,2
169,1
170,2
171,1
172,1
173,3
174,1
175,1
176,2
177,2
178,2
179,1
180,1
181,2
182,1
183,0
184,0
185,0
186,0
187,0
188,1
189,0
190,1
191,1
192,2
193,1
194,0
195,3
196,0
197,2
198,1
199,0
200,0
201,1
202,1
203,0
204,2
205,2
206,0
207,0
208,0
209,2
210,1
211,1
212,1
213,3
214,0
215,3
216,0
217,0
218,1
219,0
220,0
221,0
222,1
223,0
224,1
225,3
226,1
227,0
228,0
229,1
230,1
231,0
232,1
233,1
234,1
235,1
236,0
237,0
238,0
239,1
240,0
241,0
242,2
243,1
244,0
245,1
246,0
247,0
248,2
249,0
250,2
251,0
252,0
253,2
254,0
255,0
