Channel,Data
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,0
9,1
10,5
11,4
12,8
13,14
14,21
15,23
16,35
17,27
18,45
19,80
20,87
21,106
22,106
23,123
24,163
25,157
26,179
27,216
28,213
29,239
30,245
31,241
32,277
33,306
34,285
35,306
36,357
37,302
38,366
39,321
40,394
41,397
42,344
43,350
44,397
45,381
46,411
47,395
48,391
49,379
50,396
51,386
52,412
53,366
54,367
55,362
56,368
57,321
58,327
59,325
60,359
61,339
62,341
63,326
64,301
65,318
66,327
67,306
68,274
69,281
70,238
71,264
72,267
73,252
74,269
75,238
76,254
77,254
78,211
79,223
80,232
81,222
82,234
83,195
84,224
85,205
86,212
87,197
88,212
89,188
90,178
91,174
92,198
93,189
94,197
95,166
96,180
97,186
98,164
99,171
100,156
101,135
102,138
103,140
104,177
105,123
106,138
107,119
108,140
109,136
110,154
111,137
112,128
113,132
114,109
115,98
116,119
117,115
118,113
119,104
120,87
121,110
122,96
123,113
124,97
125,108
126,112
127,107
128,106
129,92
130,90
131,83
132,96
133,71
134,73
135,76
136,81
137,62
138,81
139,88
140,72
141,90
142,73
143,82
144,69
145,77
146,67
147,61
148,60
149,58
150,61
151,50
152,69
153,51
154,64
155,62
156,61
157,49
158,44
159,51
160,54
161,60
162,50
163,49
164,56
165,51
166,52
167,39
168,41
169,55
170,47
171,43
172,49
173,47
174,32
175,30
176,42
177,34
178,37
179,31
180,35
181,31
182,29
183,39
184,39
185,30
186,28
187,21
188,36
189,28
190,29
191,31
192,24
193,26
194,24
195,21
196,31
197,23
198,24
199,27
200,23
201,31
202,24
203,25
204,29
205,26
206,22
207,28
208,21
209,21
210,30
211,27
212,19
213,29
214,19
215,20
216,23
217,14
218,20
219,13
220,18
221,21
222,21
223,18
224,20
225,21
226,15
227,16
228,19
229,7
230,22
231,18
232,12
233,13
234,14
235,8
236,12
237,10
238,11
239,12
240,15
241,12
242,10
243,12
244,16
245,11
246,12
247,6
248,13
249,13
250,13
251,10
252,12
253,7
254,16
255,11
