Channel,Data
0,0
1,6
2,14
3,10
4,5
5,11
6,11
7,9
8,12
9,10
10,19
11,9
12,3
13,12
14,14
15,9
16,13
17,7
18,13
19,15
20,13
21,12
22,15
23,17
24,6
25,15
26,10
27,10
28,8
29,18
30,8
31,10
32,4
33,11
34,8
35,6
36,10
37,5
38,12
39,3
40,9
41,5
42,9
43,4
44,6
45,10
46,8
47,7
48,8
49,6
50,9
51,5
52,7
53,11
54,7
55,8
56,3
57,2
58,4
59,2
60,4
61,5
62,6
63,4
64,6
65,5
66,5
67,7
68,7
69,9
70,4
71,3
72,6
73,5
74,3
75,5
76,6
77,4
78,2
79,5
80,6
81,4
82,2
83,4
84,8
85,3
86,4
87,5
88,4
89,1
90,7
91,4
92,2
93,3
94,7
95,2
96,1
97,2
98,3
99,1
100,3
101,1
102,5
103,3
104,1
105,2
106,0
107,2
108,2
109,1
110,1
111,3
112,4
113,3
114,4
115,2
116,4
117,4
118,1
119,0
120,2
121,3
122,3
123,0
124,2
125,4
126,0
127,1
128,0
129,3
130,2
131,0
132,1
133,2
134,0
135,0
136,0
137,0
138,0
139,1
140,1
141,0
142,1
143,1
144,2
145,3
146,2
147,2
148,3
149,0
150,2
151,0
152,0
153,0
154,0
155,2
156,1
157,1
158,1
159,2
160,1
161,0
162,0
163,0
164,1
165,0
166,0
167,1
168,0
169,0
170,0
171,0
172,2
173,0
174,2
175,0
176,0
177,1
178,1
179,1
180,1
181,0
182,0
183,0
184,0
185,1
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,1
196,0
197,0
198,0
199,1
200,1
201,0
202,0
203,0
204,0
205,0
206,2
207,1
208,2
209,0
210,0
211,0
212,1
213,0
214,0
215,1
216,0
217,0
218,1
219,0
220,1
221,0
222,1
223,1
224,0
225,1
226,1
227,0
228,0
229,0
230,0
231,1
232,0
233,1
234,0
235,0
236,0
237,0
238,1
239,0
240,0
241,0
242,0
243,1
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,1
252,0
253,0
254,0
255,0
