Channel,Data
0,0
1,6
2,21
3,11
4,12
5,16
6,8
7,12
8,18
9,8
10,15
11,15
12,17
13,14
14,12
15,6
16,9
17,13
18,9
19,10
20,13
21,13
22,11
23,10
24,13
25,10
26,18
27,10
28,8
29,8
30,16
31,10
32,8
33,7
34,8
35,8
36,7
37,9
38,14
39,14
40,9
41,11
42,9
43,10
44,6
45,11
46,8
47,4
48,3
49,8
50,9
51,10
52,10
53,8
54,6
55,6
56,7
57,4
58,6
59,4
60,6
61,5
62,7
63,6
64,8
65,4
66,5
67,5
68,7
69,7
70,5
71,10
72,3
73,6
74,4
75,4
76,1
77,5
78,6
79,1
80,8
81,2
82,1
83,7
84,3
85,1
86,5
87,2
88,5
89,3
90,6
91,2
92,4
93,3
94,1
95,5
96,1
97,0
98,1
99,2
100,3
101,1
102,6
103,4
104,6
105,3
106,5
107,0
108,1
109,3
110,0
111,5
112,3
113,1
114,2
115,3
116,1
117,3
118,4
119,4
120,1
121,1
122,2
123,4
124,2
125,1
126,1
127,0
128,3
129,1
130,2
131,2
132,1
133,0
134,1
135,2
136,1
137,2
138,0
139,1
140,0
141,2
142,0
143,0
144,1
145,0
146,2
147,0
148,0
149,2
150,2
151,1
152,0
153,0
154,1
155,1
156,1
157,0
158,0
159,1
160,1
161,0
162,2
163,1
164,1
165,2
166,1
167,0
168,2
169,3
170,0
171,2
172,1
173,0
174,4
175,0
176,1
177,1
178,0
179,1
180,1
181,0
182,1
183,1
184,0
185,0
186,0
187,0
188,1
189,0
190,0
191,0
192,0
193,2
194,1
195,0
196,3
197,0
198,4
199,0
200,0
201,1
202,1
203,0
204,0
205,1
206,1
207,0
208,0
209,0
210,0
211,0
212,0
213,1
214,0
215,0
216,1
217,3
218,0
219,1
220,0
221,0
222,0
223,1
224,1
225,0
226,1
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,2
236,0
237,2
238,0
239,0
240,0
241,1
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,1
251,1
252,1
253,0
254,1
255,0
