Channel,Data
0,100
1,145
2,124
3,133
4,95
5,104
6,97
7,105
8,117
9,113
10,123
11,131
12,115
13,116
14,148
15,138
16,131
17,108
18,115
19,106
20,99
21,115
22,124
23,93
24,127
25,139
26,127
27,154
28,118
29,95
30,137
31,111
32,127
33,132
34,122
35,124
36,93
37,121
38,127
39,153
40,112
41,121
42,116
43,122
44,98
45,135
46,121
47,112
48,99
49,150
50,120
51,128
52,116
53,115
54,120
55,153
56,149
57,118
58,114
59,116
60,109
61,118
62,121
63,129
64,152
65,114
66,127
67,138
68,138
69,125
70,132
71,146
72,116
73,126
74,129
75,131
76,110
77,112
78,126
79,101
80,116
81,115
82,115
83,109
84,112
85,110
86,140
87,114
88,128
89,101
90,136
91,113
92,102
93,110
94,100
95,107
96,115
97,127
98,126
99,109
100,116
101,120
102,114
103,120
104,120
105,110
106,109
107,125
108,117
109,129
110,116
111,106
112,136
113,110
114,109
115,128
116,141
117,114
118,119
119,114
120,109
121,124
122,132
123,116
124,115
125,118
126,102
127,104
128,115
129,114
130,120
131,106
132,134
133,139
134,121
135,174
136,161
137,114
138,101
139,126
140,92
141,129
142,116
143,160
144,111
145,117
146,142
147,101
148,107
149,135
150,143
151,145
152,109
153,123
154,101
155,114
156,126
157,123
158,150
159,113
160,113
161,123
162,130
163,135
164,100
165,112
166,145
167,84
168,133
169,143
170,125
171,138
172,118
173,105
174,137
175,110
176,131
177,113
178,73
179,109
180,131
181,128
182,123
183,143
184,100
185,111
186,126
187,111
188,105
189,108
190,132
191,118
192,149
193,135
194,94
195,127
196,114
197,126
198,118
199,122
200,100
201,114
202,124
203,151
204,125
205,136
206,134
207,143
208,111
209,101
210,111
211,139
212,114
213,146
214,114
215,92
216,139
217,122
218,133
219,149
220,130
221,120
222,118
223,116
224,139
225,110
226,114
227,128
228,122
229,118
230,129
231,137
232,93
233,133
234,143
235,108
236,121
237,122
238,88
239,97
240,115
241,91
242,117
243,114
244,132
245,118
246,119
247,148
248,138
249,112
250,111
251,128
252,111
253,115
254,107
255,128
256,140
257,118
258,110
259,153
260,107
261,130
262,135
263,132
264,90
265,136
266,85
267,121
268,120
269,144
270,112
271,124
272,103
273,136
274,110
275,103
276,101
277,101
278,140
279,87
280,106
281,148
282,122
283,122
284,126
285,132
286,98
287,130
288,100
289,152
290,136
291,124
292,111
293,135
294,104
295,115
296,110
297,136
298,110
299,123
300,141
301,124
302,112
303,104
304,98
305,119
306,122
307,137
308,114
309,141
310,123
311,123
312,96
313,128
314,142
315,110
316,103
317,122
318,132
319,135
320,109
321,134
322,103
323,114
324,127
325,127
326,121
327,133
328,115
329,105
330,145
331,114
332,114
333,116
334,126
335,116
336,111
337,127
338,123
339,118
340,138
341,104
342,132
343,132
344,126
345,118
346,109
347,131
348,96
349,117
350,127
351,159
352,111
353,97
354,107
355,119
356,104
357,128
358,102
359,112
360,121
361,123
362,108
363,129
364,97
365,109
366,84
367,105
368,132
369,98
370,145
371,137
372,150
373,126
374,102
375,112
376,111
377,129
378,153
379,102
380,107
381,119
382,111
383,110
384,123
385,116
386,100
387,109
388,126
389,138
390,81
391,108
392,102
393,130
394,124
395,152
396,125
397,110
398,122
399,122
400,92
401,124
402,132
403,120
404,112
405,108
406,140
407,149
408,108
409,86
410,121
411,111
412,116
413,116
414,128
415,108
416,112
417,110
418,116
419,108
420,102
421,114
422,116
423,120
424,125
425,113
426,128
427,127
428,136
429,114
430,120
431,127
432,110
433,138
434,115
435,103
436,99
437,127
438,108
439,112
440,118
441,129
442,110
443,135
444,157
445,124
446,141
447,111
448,132
449,104
450,112
451,124
452,138
453,70
454,134
455,126
456,129
457,145
458,145
459,142
460,135
461,145
462,132
463,108
464,136
465,78
466,120
467,118
468,104
469,124
470,104
471,106
472,118
473,85
474,158
475,90
476,133
477,120
478,141
479,106
480,124
481,106
482,114
483,112
484,127
485,113
486,120
487,107
488,131
489,117
490,125
491,123
492,101
493,119
494,112
495,105
496,117
497,125
498,134
499,132
500,122
501,146
502,138
503,133
504,132
505,113
506,140
507,113
508,140
509,140
510,139
511,103
512,116
513,120
514,128
515,142
516,95
517,133
518,146
519,116
520,126
521,106
522,108
523,117
524,157
525,95
526,107
527,100
528,118
529,122
530,113
531,132
532,135
533,124
534,130
535,110
536,140
537,153
538,81
539,123
540,112
541,104
542,134
543,96
544,97
545,106
546,115
547,136
548,113
549,113
550,105
551,105
552,118
553,140
554,130
555,132
556,129
557,133
