theta/2theta,Intensity
5,250.9113007
5.010000229,253.932663
5.019999981,336.6230164
5.03000021,302.4634399
5.039999962,209.9745331
5.050000191,211.9826355
5.059999943,290.5362549
5.070000172,241.2942963
5.079999924,233.6105194
5.090000153,182.8502655
5.099999905,256.7096252
5.110000134,212.1771851
5.119999886,239.2519226
5.130000114,237.8079987
5.139999866,233.6474915
5.150000095,256.411377
5.159999847,231.4520569
5.170000076,209.9965363
5.179999828,254.2677765
5.190000057,254.5116119
5.199999809,242.719986
5.210000038,207.3820038
5.21999979,291.6415405
5.230000019,284.8115845
5.239999771,279.5423889
5.25,237.5338135
5.260000229,240.8906403
5.269999981,275.6192627
5.28000021,264.1012268
5.289999962,224.8978119
5.300000191,220.8333282
5.309999943,322.0274658
5.320000172,314.6243896
5.329999924,271.4078674
5.340000153,255.4781494
5.349999905,242.9965668
5.360000134,223.0805054
5.369999886,272.7886658
5.380000114,297.6914673
5.389999866,259.3129272
5.400000095,287.4008789
5.409999847,276.9204407
5.420000076,249.23703
5.429999828,275.2276917
5.440000057,275.4985046
5.449999809,289.6481323
5.460000038,306.2902832
5.46999979,297.3840027
5.480000019,288.5460205
5.489999771,218.3869171
5.5,208.3333282
5.510000229,226.4597473
5.519999981,254.5008087
5.53000021,363.1115417
5.539999962,299.8143921
5.550000191,276.6976013
5.559999943,282.1893616
5.570000172,225.9162292
5.579999924,248.9087524
5.590000153,257.7430115
5.599999905,272.6142273
5.610000134,282.1282349
5.619999886,219.2893219
5.630000114,261.6116943
5.639999866,306.2911377
5.650000095,273.5635986
5.659999847,263.1331177
5.670000076,251.9176331
5.679999828,207.7437744
5.690000057,235.1524658
5.699999809,266.2306824
5.710000038,246.3120422
5.71999979,248.6605377
5.730000019,277.9266968
5.739999771,231.0622406
5.75,283.4488525
5.760000229,264.5804443
5.769999981,261.7997742
5.78000021,283.2621155
5.789999962,246.0489349
5.800000191,268.5334473
5.809999943,264.6737976
5.820000172,245.3201141
5.829999924,231.3769989
5.840000153,277.099823
5.849999905,277.2468872
5.860000134,281.8232422
5.869999886,259.4945984
5.880000114,226.9710693
5.889999866,254.766983
5.900000095,208.3035126
5.909999847,249.9324951
5.920000076,296.2511597
5.929999828,300.7976379
5.940000057,279.8222656
5.949999809,305.2118835
5.960000038,238.7824097
5.96999979,277.6936035
5.980000019,298.3439636
5.989999771,240.0137024
6,288.2034607
6.010000229,244.3990173
6.019999981,249.0527954
6.03000021,217.7755585
6.039999962,254.5643158
6.050000191,273.2589417
6.059999943,294.740448
6.070000172,339.4081116
6.079999924,264.773468
6.090000153,254.7541809
6.099999905,258.3333435
6.110000134,264.8528442
6.119999886,328.4867554
6.130000114,303.6141663
6.139999866,256.0093994
6.150000095,216.7137451
6.159999847,247.0867462
6.170000076,251.8865509
6.179999828,256.4346619
6.190000057,232.6430664
6.199999809,285.899353
6.210000038,265.7765503
6.21999979,247.780426
6.230000019,296.8265076
6.239999771,280.6897888
6.25,267.6583557
6.260000229,250.8220367
6.269999981,258.4848328
6.28000021,259.3431702
6.289999962,296.1427612
6.300000191,298.8991089
6.309999943,270.7237549
6.320000172,265.6326599
6.329999924,269.7932739
6.340000153,283.3156433
6.349999905,247.0110474
6.360000134,264.4183044
6.369999886,290.5122986
6.380000114,289.6405029
6.389999866,275.1384583
6.400000095,267.7489929
6.409999847,275.9016113
6.420000076,337.5401001
6.429999828,278.6107483
6.440000057,298.963562
6.449999809,252.5286102
6.460000038,259.6483154
6.46999979,258.6647949
6.480000019,290.5999756
6.489999771,273.8658142
6.5,250.4037628
6.510000229,248.8513641
6.519999981,268.0720825
6.53000021,284.0179749
6.539999962,269.5001831
6.550000191,226.5726166
6.559999943,281.2223816
6.570000172,302.3695068
6.579999924,308.9276733
6.590000153,306.5602417
6.599999905,256.744873
6.610000134,255.2470856
6.619999886,265.4518433
6.630000114,263.7208557
6.639999866,262.5
6.650000095,294.7717896
6.659999847,255.6331024
6.670000076,277.1600647
6.679999828,330.8226318
6.690000057,308.0063477
6.699999809,288.7629089
6.710000038,241.1358795
6.71999979,255.5343781
6.730000019,279.4906006
6.739999771,315.0105591
6.75,260.1967163
6.760000229,297.9926147
6.769999981,286.2404175
6.78000021,335.2046814
6.789999962,341.0188904
6.800000191,326.3229065
6.809999943,290.9468384
6.820000172,266.5046997
6.829999924,307.7124023
6.840000153,286.8699341
6.849999905,297.6183777
6.860000134,306.8843994
6.869999886,304.1666565
6.880000114,309.7583008
6.889999866,304.1304932
6.900000095,283.2969055
6.909999847,261.1106873
6.920000076,292.9729614
6.929999828,295.9046326
6.940000057,320.618927
6.949999809,307.2067871
6.960000038,294.4146118
6.96999979,328.7369385
6.980000019,310.2654724
6.989999771,357.1869202
7,318.1177673
7.010000229,306.347229
7.019999981,323.5454102
7.03000021,319.5877991
7.039999962,297.7657166
7.050000191,284.8058472
7.059999943,283.3333435
7.070000172,310.1555176
7.079999924,330.3525085
7.090000153,285.26828
7.099999905,314.2839355
7.110000134,329.8832397
7.119999886,304.9190369
7.130000114,306.4190063
7.139999866,349.4663391
7.150000095,328.6815186
7.159999847,312.0522461
7.170000076,303.553833
7.179999828,246.1178284
7.190000057,347.1989746
7.199999809,352.0687561
7.210000038,318.728241
7.21999979,314.6289063
7.230000019,365.2433167
7.239999771,312.2506409
7.25,314.9813538
7.260000229,347.4310303
7.269999981,374.0263977
7.28000021,373.7673035
7.289999962,342.091156
7.300000191,313.895752
7.309999943,286.3922119
7.320000172,343.3980103
7.329999924,344.535675
7.340000153,291.4530029
7.349999905,345.4318542
7.360000134,376.6098022
7.369999886,346.6383667
7.380000114,348.3189087
7.389999866,338.4000854
7.400000095,332.4571533
7.409999847,330.0606689
7.420000076,322.5261536
7.429999828,340.5765381
7.440000057,346.7807617
7.449999809,295.0021057
7.460000038,272.3003845
7.46999979,325.6057434
7.480000019,355.8951111
7.489999771,366.3281555
7.5,331.3253784
7.510000229,343.5679016
7.519999981,321.8807983
7.53000021,312.2363281
7.539999962,371.7758179
7.550000191,356.8588867
7.559999943,325
7.570000172,334.5395203
7.579999924,344.0456238
7.590000153,374.3097534
7.599999905,376.8964233
7.610000134,360.1387939
7.619999886,337.1358643
7.630000114,367.8204346
7.639999866,401.8232422
7.650000095,388.3124084
7.659999847,409.4775085
7.670000076,403.0993652
7.679999828,393.0853271
7.690000057,381.0280457
7.699999809,369.4238586
7.710000038,335.8653564
7.71999979,336.3124695
7.730000019,378.5315247
7.739999771,373.3921814
7.75,376.5605469
7.760000229,380.3041992
7.769999981,361.7669678
7.78000021,356.4273376
7.789999962,374.1167908
7.800000191,398.7443848
7.809999943,365.7167969
7.820000172,329.1666565
7.829999924,340.3225403
7.840000153,354.4505615
7.849999905,349.4558411
7.860000134,343.8801575
7.869999886,359.0788269
7.880000114,386.2451477
7.889999866,386.8252563
7.900000095,348.7212219
7.909999847,344.6560364
7.920000076,340.7188721
7.929999828,372.9666138
7.940000057,414.3343506
7.949999809,410.4937744
7.960000038,388.7999268
7.96999979,368.8153381
7.980000019,417.9744263
7.989999771,430.4466248
8,391.4759827
8.010000229,357.8318787
8.020000458,367.2411499
8.029999733,351.3927917
8.039999962,316.8115234
8.050000191,337.5730591
8.06000042,306.01474
8.069999695,358.6194763
8.079999924,412.488739
8.090000153,395.7808228
8.100000381,375.2225647
8.109999657,345.7313232
8.119999886,383.0588074
8.130000114,402.1695862
8.140000343,373.2975159
8.149999619,376.5569153
8.159999847,381.7600098
8.170000076,340.0534363
8.180000305,345.1360779
8.18999958,378.9107666
8.199999809,391.5269775
8.210000038,367.726532
8.220000267,387.5440674
8.229999542,383.785614
8.239999771,320.8333435
8.25,320.8333435
8.260000229,392.0525208
8.270000458,429.4118958
8.279999733,365.6340332
8.289999962,351.7155151
8.300000191,368.1076965
8.31000042,363.5745544
8.319999695,367.2080688
8.329999924,362.6071167
8.340000153,360.0698547
8.350000381,372.7261963
8.359999657,382.3084106
8.369999886,384.8083191
8.380000114,347.0401917
8.390000343,394.4749146
