Sample Number,Time (s),1 (VOLT)
1,-0.5,-4.596481718
2,-0.498992,3.202511728
3,-0.497984,2.318089791
4,-0.496976,0.468843922
5,-0.495968,-5.400501661
6,-0.49496,-5.078893684
7,-0.493952,3.765325688
8,-0.492944,-4.596481718
9,-0.491936,3.604521699
10,-0.490928,-4.676883712
11,-0.48992,3.684923694
12,-0.488912,2.237687796
13,-0.487904,3.363315716
14,-0.486896,2.398491785
15,-0.485888,4.247737654
16,-0.48488,4.649747625
17,-0.483872,-4.757285707
18,-0.482864,-1.943215907
19,-0.481856,1.996481813
20,-0.480848,-0.576382004
21,-0.47984,-2.264823884
22,-0.478832,3.926129676
23,-0.477824,3.604521699
24,-0.476816,-1.219597958
25,-0.475808,-0.093970038
26,-0.4748,4.649747625
27,-0.473792,0.549245916
28,-0.472784,-5.159295678
29,-0.471776,-0.897989981
30,-0.470768,-5.320099667
31,-0.46976,-2.023617901
32,-0.468752,0.629647911
33,-0.467744,4.167335659
34,-0.466736,-5.400501661
35,-0.465728,4.006531671
36,-0.46472,-5.239697672
37,-0.463712,-3.712059781
38,-0.462704,2.478893779
39,-0.461696,-2.747235849
40,-0.460688,-0.737185992
41,-0.45968,3.363315716
42,-0.458672,-2.345225878
43,-0.457664,-1.943215907
44,-0.456656,2.398491785
45,-0.455648,-2.264823884
46,-0.45464,-1.782411918
47,-0.453632,-5.159295678
48,-0.452624,4.247737654
49,-0.451616,3.282913722
50,-0.450608,-5.078893684
51,-0.4496,5.132159591
52,-0.448592,-3.87286377
53,-0.447584,4.890953608
54,-0.446576,-3.712059781
55,-0.445568,-1.782411918
56,-0.44456,-5.320099667
57,-0.443552,-5.239697672
58,-0.442544,-4.596481718
59,-0.441536,4.730149619
60,-0.440528,2.720099762
61,-0.43952,-0.817587987
62,-0.438512,0.870853893
63,-0.437504,4.328139648
64,-0.436496,-5.078893684
65,-0.435488,1.835677825
66,-0.43448,-5.239697672
67,-0.433472,-5.400501661
68,-0.432464,-0.495980009
69,-0.431456,5.212561585
70,-0.430448,-5.078893684
71,-0.42944,-1.862813912
72,-0.428432,4.971355602
73,-0.427424,-0.817587987
74,-0.426416,3.926129676
75,-0.425408,-0.415578015
76,-0.4244,-3.87286377
77,-0.423392,-4.194471747
78,-0.422384,2.639697768
79,-0.421376,-5.400501661
80,-0.420368,2.961305745
81,-0.41936,2.478893779
82,-0.418352,2.398491785
83,-0.417344,3.604521699
84,-0.416336,0.388441928
85,-0.415328,1.112059876
86,-0.41432,0.388441928
87,-0.413312,4.649747625
88,-0.412304,-4.516079724
89,-0.411296,1.514069848
90,-0.410288,3.684923694
91,-0.40928,-3.631657787
92,-0.408272,-2.988441832
93,-0.407264,-5.239697672
94,-0.406256,1.514069848
95,-0.405248,-1.621607929
96,-0.40424,-3.470853798
97,-0.403232,2.398491785
98,-0.402224,4.649747625
99,-0.401216,1.433667853
100,-0.400208,1.031657882
101,-0.3992,-5.159295678
102,-0.398192,2.398491785
103,-0.397184,-1.219597958
104,-0.396176,-5.400501661
105,-0.395168,4.810551614
106,-0.39416,-3.87286377
107,-0.393152,0.951255888
108,-0.392144,3.443717711
109,-0.391136,-1.541205935
110,-0.390128,1.674873836
111,-0.38912,3.604521699
112,-0.388112,0.710049905
113,-0.387104,3.282913722
114,-0.386096,-4.99849169
115,-0.385088,0.388441928
116,-0.38408,-4.596481718
117,-0.383072,-0.897989981
118,-0.382064,-1.702009924
119,-0.381056,0.870853893
120,-0.380048,4.890953608
121,-0.37904,2.720099762
122,-0.378032,2.318089791
123,-0.377024,-1.219597958
124,-0.376016,-4.99849169
125,-0.375008,-3.390451804
126,-0.374,-1.943215907
127,-0.372992,-4.355275735
128,-0.371984,2.237687796
129,-0.370976,4.086933665
130,-0.369968,-4.837687701
131,-0.36896,-3.87286377
132,-0.367952,5.292963579
133,-0.366944,-4.99849169
134,-0.365936,-5.400501661
135,-0.364928,4.890953608
136,-0.36392,-3.390451804
137,-0.362912,3.604521699
138,-0.361904,-1.702009924
139,-0.360896,4.890953608
140,-0.359888,4.971355602
141,-0.35888,-4.596481718
142,-0.357872,-1.702009924
143,-0.356864,4.408541642
144,-0.355856,0.790451899
145,-0.354848,4.971355602
146,-0.35384,-4.757285707
